<TCP> 0.02: Completed Requests: 2000, Min: 0.0980000000199652, Max: 0.334000000068045, Mean: 0.187086500038115, 99th Perc: 0.285000000058062, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.02: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.343000000069878, Mean: 0.18725900003815, 99th Perc: 0.296000000060303, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.02: Completed Requests: 1971, Min: 0.0960000000195578, Max: 0.329000000067026, Mean: 0.184756468835205, 99th Perc: 0.290000000059081, MeanIC: 1, FlowsMissed: 122
<Vriksha> 0.02: Completed Requests: 2000, Min: 0.0940000000191503, Max: 0.27900000005684, Mean: 0.172374000035117, 99th Perc: 0.247000000050321, MeanIC: 1, FlowsMissed: 0
<TCP> 0.018: Completed Requests: 2000, Min: 0.095000000019354, Max: 0.340000000069267, Mean: 0.18809400003832, 99th Perc: 0.285000000058062, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.018: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.363000000073953, Mean: 0.191675500039049, 99th Perc: 0.300000000061118, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.018: Completed Requests: 1894, Min: 0.0900000000183354, Max: 0.366000000074564, Mean: 0.191710665297768, 99th Perc: 0.300000000061118, MeanIC: 1, FlowsMissed: 454
<Vriksha> 0.018: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.269000000054803, Mean: 0.176029500035862, 99th Perc: 0.248000000050524, MeanIC: 1, FlowsMissed: 0
<TCP> 0.016: Completed Requests: 2000, Min: 0.0900000000183354, Max: 0.343000000069878, Mean: 0.195814500039893, 99th Perc: 0.305000000062137, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.016: Completed Requests: 2000, Min: 0.101000000020576, Max: 0.368000000074971, Mean: 0.202437500041242, 99th Perc: 0.323000000065804, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.016: Completed Requests: 1857, Min: 0.0930000000189466, Max: 0.404000000082306, Mean: 0.199267097509632, 99th Perc: 0.313000000063766, MeanIC: 1, FlowsMissed: 818
<Vriksha> 0.016: Completed Requests: 2000, Min: 0.0960000000195578, Max: 0.284000000057858, Mean: 0.176938000036047, 99th Perc: 0.244000000049709, MeanIC: 1, FlowsMissed: 0
<TCP> 0.014: Completed Requests: 2000, Min: 0.088000000017928, Max: 0.358000000072934, Mean: 0.209356500042652, 99th Perc: 0.319000000064989, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.014: Completed Requests: 2000, Min: 0.109000000022206, Max: 0.415000000084547, Mean: 0.224508500045738, 99th Perc: 0.361000000073545, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.014: Completed Requests: 1702, Min: 0.0980000000199652, Max: 0.401000000081694, Mean: 0.21691186843432, 99th Perc: 0.344000000070082, MeanIC: 1, FlowsMissed: 2177
<Vriksha> 0.014: Completed Requests: 2000, Min: 0.101000000020576, Max: 0.267000000054395, Mean: 0.182243500037128, 99th Perc: 0.245000000049913, MeanIC: 1, FlowsMissed: 0
<TCP> 0.012: Completed Requests: 2000, Min: 0.120000000024447, Max: 0.487000000099215, Mean: 0.243338500049575, 99th Perc: 0.364000000074157, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.012: Completed Requests: 2000, Min: 0.119000000024243, Max: 0.573000000116735, Mean: 0.29652650006041, 99th Perc: 0.46700000009514, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.012: Completed Requests: 966, Min: 0.125000000025466, Max: 0.457000000093103, Mean: 0.253231884109561, 99th Perc: 0.409000000083324, MeanIC: 1, FlowsMissed: 14864
<Vriksha> 0.012: Completed Requests: 2000, Min: 0.128000000026077, Max: 0.283000000057655, Mean: 0.191982500039112, 99th Perc: 0.251000000051135, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.05: Completed Requests: 2000, Min: 0.0870000000177242, Max: 0.28700000005847, Mean: 0.167719000034169, 99th Perc: 0.257000000052358, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.048: Completed Requests: 2000, Min: 0.0810000000165019, Max: 0.284000000057858, Mean: 0.169037500034437, 99th Perc: 0.254000000051747, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.046: Completed Requests: 2000, Min: 0.0850000000173168, Max: 0.289000000058877, Mean: 0.169121000034454, 99th Perc: 0.254000000051747, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.044: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.309000000062952, Mean: 0.168373000034302, 99th Perc: 0.252000000051339, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.042: Completed Requests: 2000, Min: 0.0860000000175205, Max: 0.282000000057451, Mean: 0.168849000034399, 99th Perc: 0.254000000051747, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.04: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.290000000059081, Mean: 0.170086000034651, 99th Perc: 0.258000000052562, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.038: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.281000000057247, Mean: 0.169831500034599, 99th Perc: 0.25500000005195, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.036: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.298000000060711, Mean: 0.170097000034653, 99th Perc: 0.254000000051747, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.034: Completed Requests: 2000, Min: 0.0840000000171131, Max: 0.295000000060099, Mean: 0.170418000034719, 99th Perc: 0.258000000052562, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.032: Completed Requests: 2000, Min: 0.0840000000171131, Max: 0.31400000006397, Mean: 0.172345000035111, 99th Perc: 0.262000000053376, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.03: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.30600000006234, Mean: 0.172545000035152, 99th Perc: 0.26300000005358, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.028: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.298000000060711, Mean: 0.176371500035932, 99th Perc: 0.269000000054803, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.026: Completed Requests: 2000, Min: 0.0870000000177242, Max: 0.31400000006397, Mean: 0.175758500035807, 99th Perc: 0.269000000054803, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.024: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.319000000064989, Mean: 0.178370500036339, 99th Perc: 0.273000000055617, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.022: Completed Requests: 2000, Min: 0.095000000019354, Max: 0.301000000061322, Mean: 0.180765500036827, 99th Perc: 0.276000000056229, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.02: Completed Requests: 2000, Min: 0.0910000000185391, Max: 0.323000000065804, Mean: 0.18485550003766, 99th Perc: 0.28700000005847, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.018: Completed Requests: 2000, Min: 0.095000000019354, Max: 0.384000000078231, Mean: 0.191842500039083, 99th Perc: 0.310000000063155, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.016: Completed Requests: 2000, Min: 0.095000000019354, Max: 0.382000000077824, Mean: 0.201579500041067, 99th Perc: 0.329000000067026, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.014: Completed Requests: 2000, Min: 0.099000000020169, Max: 0.471000000095955, Mean: 0.225906000046023, 99th Perc: 0.410000000083528, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0.012: Completed Requests: 2000, Min: 0.128000000026077, Max: 1.24100000025282, Mean: 0.366085000074581, 99th Perc: 0.937000000190892, MeanIC: 1, FlowsMissed: 0
